n,bayes_pA_q95_width,boot_pA_q95_width,bayes_pB_q95_width,boot_pB_q95_width,bayes_pExhaust_q95_width,boot_pExhaust_q95_width,bayes_capture_pA_q95,bayes_capture_pB_q95,bayes_capture_pExhaust_q95,boot_capture_pA_q95,boot_capture_pB_q95,boot_capture_pExhaust_q95
10,0.2695602115540712,0,0.5042190378511319,0.6,0.4990478625439479,0.6000000000000001,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4871650706617263,0.5,0.478406062295756,0.5,0.255528941710062,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.502917625412409,0.5,0.42438659951905233,0.5,0.3729133255631504,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5353370808488682,0.6000000000000001,0.3910544377173314,0.3,0.5056857786568265,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4866390718478164,0.5,0.48119697681209744,0.5,0.5010862452545075,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5058858024362314,0.6000000000000001,0.5115974951296299,0.6,0.36985195596288417,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5180089890480943,0.6000000000000001,0.47539539300149847,0.6,0.35671875473609105,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.49720430858355036,0.6,0.5176586542592384,0.6000000000000001,0.2480561171921229,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.2588989883384073,0,0.2510613325740178,0,0.3357164572459238,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.45726924309804606,0.6,0.4968867444132541,0.6,0.516281667936672,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.35221038896860907,0.3,0.510215099051738,0.6000000000000001,0.4790672166767096,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.3759290327097695,0,0.27106907833669275,0,0.26190830506211193,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.4140082440666248,0.4,0.5048334866480897,0.6000000000000001,0.4538696685282643,0.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5089055090787851,0.6000000000000001,0.47693327130759916,0.6,0.41321095188314694,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5113336933466892,0.6,0.3625570950829646,0.3,0.5172384831195522,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.48883345007186785,0.6000000000000001,0.24257261563281793,0,0.4866158362792169,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.5049135380150682,0.6000000000000001,0.5038358496329761,0.6,0.36414654182118095,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5145058734812521,0.6000000000000001,0.4749696130880881,0.6,0.351412261684425,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.35998690231821073,0.3,0.4451188219220111,0.5,0.4995122891782884,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.43148522323444066,0.5,0.4687983663649022,0.6,0.4986433666306858,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.3624075318672755,0,0.25984233934614714,0,0.2636225703385564,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.5329393870271215,0.6000000000000001,0.43012679252260344,0.5,0.4592366298592358,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.23439364583956698,0,0.3951466570353507,0.30000000000000004,0.36305768196829147,0.3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.34986282910485594,0.3,0.46923425327696244,0.6,0.49395765164549726,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5109703197498745,0.6,0.4995361222006771,0.6,0.41672636969966637,0.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
10,0.49227442296156876,0.6,0.515666250037103,0.6000000000000001,0.3565600954964505,0.3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.36987236447522265,0.3,0.5053234925128351,0.6000000000000001,0.47851242967353536,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.5107275791308281,0.6,0.48179273911709175,0.6,0.48128590325712617,0.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
